time,Xrefc,Yrefc,Xrobotc,Yrobotc,ISExc,ISEyc
29.8,-0.101297936,-0.066861632,-0.100405482,-0.06537818,5.06E-05,4.56E-05
29.9,-0.101496363,-0.068829287,-0.101464456,-0.067872845,5.07E-05,4.58E-05
30,-0.101598375,-0.070768434,-0.100967093,-0.068907354,5.07E-05,4.60E-05
30.1,-0.101604679,-0.072675763,-0.101661595,-0.071113535,5.07E-05,4.62E-05
30.2,-0.101516108,-0.074547995,-0.101603752,-0.073019592,5.07E-05,4.64E-05
30.3,-0.101333621,-0.076381894,-0.101770648,-0.075134391,5.07E-05,4.65E-05
30.4,-0.101058303,-0.078174266,-0.101720245,-0.076534944,5.07E-05,4.67E-05
30.5,-0.100691361,-0.079921965,-0.10065729,-0.078495986,5.07E-05,4.68E-05
30.6,-0.100234121,-0.081621897,-0.100142564,-0.080789235,5.07E-05,4.70E-05
30.7,-0.09968803,-0.083271025,-0.099268908,-0.082237291,5.07E-05,4.71E-05
30.8,-0.099054652,-0.084866376,-0.099808468,-0.083959979,5.07E-05,4.72E-05
30.9,-0.098335664,-0.08640504,-0.099191197,-0.085553412,5.07E-05,4.73E-05
31,-0.097532856,-0.087884177,-0.097823713,-0.086598257,5.07E-05,4.74E-05
31.1,-0.096648127,-0.089301023,-0.097603979,-0.088889924,5.07E-05,4.75E-05
31.2,-0.095683483,-0.09065289,-0.096587464,-0.090179277,5.07E-05,4.76E-05
31.3,-0.094641033,-0.091937173,-0.094377612,-0.091213645,5.08E-05,4.76E-05
31.4,-0.093522988,-0.093151353,-0.094639354,-0.092911376,5.08E-05,4.77E-05
31.5,-0.092331653,-0.094292998,-0.093701085,-0.094014761,5.08E-05,4.77E-05
31.6,-0.091069431,-0.095359772,-0.091696776,-0.094641567,5.09E-05,4.78E-05
